timestamp,congestion,endNodeID,endNodeName,linkCount,linkID,linkLength,linkSqc,roadName,speed,startNodeId,startNodeName,travelT,udType
2026-07-20 10:08:46,1,1830000100,추부터널,14452,1830000200,145.940446066,2,태봉길,64,2920011700,추부터널,2,1
2026-07-20 10:08:46,1,1830000101,하소동,14452,1830000301,210.42007237,3,태봉길,31,1830000100,추부터널,7,1
2026-07-20 13:51:09,1,2920011700,추부터널,14452,1830000100,145.293874194,1,일반국도17호선,58,1830000100,추부터널,3,2
2026-07-20 13:51:09,1,1830000100,추부터널,14452,1830000200,145.940446066,2,태봉길,57,2920011700,추부터널,3,1
2026-07-20 13:51:09,1,1830000101,하소동,14452,1830000301,210.42007237,3,태봉길,31,1830000100,추부터널,7,1
2026-07-20 16:49:55,1,2920011700,추부터널,14452,1830000100,145.293874194,1,일반국도17호선,57,1830000100,추부터널,3,2
2026-07-20 16:49:55,1,1830000100,추부터널,14452,1830000200,145.940446066,2,태봉길,60,2920011700,추부터널,2,1
2026-07-20 16:49:55,1,1830000101,하소동,14452,1830000301,210.42007237,3,태봉길,38,1830000100,추부터널,6,1
2026-07-20 19:36:08,1,2920011700,추부터널,14452,1830000100,145.293874194,1,일반국도17호선,56,1830000100,추부터널,3,2
2026-07-20 19:36:08,1,1830000100,추부터널,14452,1830000200,145.940446066,2,태봉길,52,2920011700,추부터널,3,1
2026-07-20 19:36:08,1,1830000101,하소동,14452,1830000301,210.42007237,3,태봉길,43,1830000100,추부터널,5,1
2026-07-20 21:38:20,1,2920011700,추부터널,14452,1830000100,145.293874194,1,일반국도17호선,58,1830000100,추부터널,3,2
2026-07-20 21:38:20,1,1830000100,추부터널,14452,1830000200,145.940446066,2,태봉길,55,2920011700,추부터널,3,1
2026-07-20 21:38:20,1,1830000101,하소동,14452,1830000301,210.42007237,3,태봉길,43,1830000100,추부터널,5,1
2026-07-20 23:56:55,1,2920011700,추부터널,14452,1830000100,145.293874194,1,일반국도17호선,63,1830000100,추부터널,2,2
2026-07-20 23:56:55,1,1830000100,추부터널,14452,1830000200,145.940446066,2,태봉길,58,2920011700,추부터널,3,1
2026-07-20 23:56:55,1,1830000101,하소동,14452,1830000301,210.42007237,3,태봉길,44,1830000100,추부터널,5,1
2026-07-21 01:26:09,1,2920011700,추부터널,14452,1830000100,145.293874194,1,일반국도17호선,79,1830000100,추부터널,2,2
2026-07-21 01:26:09,1,1830000100,추부터널,14452,1830000200,145.940446066,2,태봉길,64,2920011700,추부터널,2,1
2026-07-21 01:26:09,1,1830000101,하소동,14452,1830000301,210.42007237,3,태봉길,44,1830000100,추부터널,5,1
2026-07-21 03:29:13,1,2920011700,추부터널,14452,1830000100,145.293874194,1,일반국도17호선,70,1830000100,추부터널,2,2
2026-07-21 03:29:13,1,1830000100,추부터널,14452,1830000200,145.940446066,2,태봉길,58,2920011700,추부터널,3,1
2026-07-21 03:29:13,1,1830000101,하소동,14452,1830000301,210.42007237,3,태봉길,47,1830000100,추부터널,4,1
2026-07-21 05:09:06,1,2920011700,추부터널,14452,1830000100,145.293874194,1,일반국도17호선,74,1830000100,추부터널,2,2
2026-07-21 05:09:06,1,1830000100,추부터널,14452,1830000200,145.940446066,2,태봉길,66,2920011700,추부터널,2,1
2026-07-21 05:09:06,1,1830000101,하소동,14452,1830000301,210.42007237,3,태봉길,48,1830000100,추부터널,4,1
